symbol,avg_volume,bar_count,min_date,max_date
PETR4,57968488,2723,2015-01-02,2025-12-23
B3SA3,37827941,2723,2015-01-02,2025-12-23
BBDC4,34028210,2722,2015-01-02,2025-12-23
ITSA4,30099225,2723,2015-01-02,2025-12-23
ITUB4,29427999,2723,2015-01-02,2025-12-23
COGN3,26861014,2724,2015-01-02,2025-12-23
BBAS3,24319867,2721,2015-01-02,2025-12-23
ABEV3,22242271,2724,2015-01-02,2025-12-23
VALE3,20476129,2723,2015-01-02,2025-12-23
RAIZ4,17555716,1097,2021-08-05,2025-12-23
USIM5,16597841,2723,2015-01-02,2025-12-23
CMIG4,15993640,2722,2015-01-02,2025-12-23
GOAU4,15384978,2724,2015-01-02,2025-12-23
GGBR4,14766975,2724,2015-01-02,2025-12-23
PETR3,14445828,2724,2015-01-02,2025-12-23
ASAI3,14359451,1205,2021-03-01,2025-12-23
AMBP3,11798770,1360,2020-07-13,2025-12-23
LREN3,10892868,2723,2015-01-02,2025-12-23
MGLU3,10118534,2722,2015-01-02,2025-12-23
CSNA3,9876831,2724,2015-01-02,2025-12-23
RAIL3,9820118,2655,2015-04-02,2025-12-23
PRIO3,9790442,2722,2015-01-02,2025-12-23
VBBR3,9344808,1936,2018-03-14,2025-12-23
PETZ3,9337310,1314,2020-09-15,2025-12-23
CSAN3,8982447,2723,2015-01-02,2025-12-23
CVCB3,8778291,2722,2015-01-02,2025-12-23
PCAR3,8773346,1507,2015-06-30,2025-12-23
UGPA3,8526679,2724,2015-01-02,2025-12-23
LWSA3,8499203,1466,2020-02-06,2025-12-23
CMIN3,8375457,1211,2021-02-22,2025-12-23
WEGE3,7238983,2723,2015-01-02,2025-12-23
EQTL3,7235126,2723,2015-01-02,2025-12-23
RADL3,7204724,2724,2015-01-02,2025-12-23
MBRF3,6966216,2724,2015-01-02,2025-12-23
MRVE3,6920841,2724,2015-01-02,2025-12-23
VAMO3,6914325,1223,2021-02-02,2025-12-23
SUZB3,6537235,2016,2017-11-10,2025-12-23
RENT3,6163274,2724,2015-01-02,2025-12-23
POMO4,6163250,2724,2015-01-02,2025-12-23
BEEF3,5993974,2724,2015-01-02,2025-12-23
AXIA3,5784921,2723,2015-01-02,2025-12-23
BBDC3,5674153,2722,2015-01-02,2025-12-23
TIMS3,5623747,2722,2015-01-02,2025-12-23
BRAV3,5470751,1273,2020-11-12,2025-12-23
GMAT3,5386954,1296,2020-10-13,2025-12-23
ENEV3,5143622,2724,2015-01-02,2025-12-23
RDOR3,4987159,1253,2020-12-15,2025-12-23
CYRE3,4895735,2723,2015-01-02,2025-12-23
HBSA3,4889917,1307,2020-09-25,2025-12-23
BRAP4,4887450,2724,2015-01-02,2025-12-23
BBSE3,4826935,2724,2015-01-02,2025-12-23
AURE3,4326785,938,2022-03-28,2025-12-23
CBAV3,4300911,1110,2021-07-16,2025-12-23
DIRR3,4059770,2724,2015-01-02,2025-12-23
MULT3,3995401,2724,2015-01-02,2025-12-23
ECOR3,3975960,2723,2015-01-02,2025-12-23
AZTE3,3859827,216,2025-02-14,2025-12-23
CEAB3,3684914,1527,2019-11-05,2025-12-23
YDUQ3,3617326,2719,2015-01-02,2025-12-23
SIMH3,3590568,1312,2020-09-18,2025-12-23
CXSE3,3569016,1164,2021-04-30,2025-12-23
TOTS3,3506510,2724,2015-01-02,2025-12-23
ANIM3,3396678,2723,2015-01-02,2025-12-23
QUAL3,3336796,2724,2015-01-02,2025-12-23
ONCO3,3272917,1065,2021-09-21,2025-12-23
LJQQ3,3143474,1339,2020-08-10,2025-12-23
JHSF3,3133289,2724,2015-01-02,2025-12-23
HYPE3,3115609,2723,2015-01-02,2025-12-23
DXCO3,3049814,2724,2015-01-02,2025-12-23
MOVI3,3042157,2132,2017-05-24,2025-12-23
HAPV3,3017019,1905,2018-04-26,2025-12-23
ALOS3,2897084,1590,2019-08-06,2025-12-23
BRKM5,2839021,2724,2015-01-02,2025-12-23
AXIA6,2824797,2723,2015-01-02,2025-12-23
SBSP3,2808563,2724,2015-01-02,2025-12-23
CASH3,2804625,1278,2020-11-09,2025-12-23
SAPR4,2796757,2723,2015-01-02,2025-12-23
SMFT3,2575842,1113,2021-07-14,2025-12-23
INBR32,2551824,820,2022-08-26,2025-12-23
NATU3,2484639,1326,2015-01-02,2025-12-23
RAPT4,2478158,2723,2015-01-02,2025-12-23
SLCE3,2469830,2724,2015-01-02,2025-12-23
MLAS3,2464973,1107,2021-07-22,2025-12-23
CPLE3,2440786,2724,2015-01-02,2025-12-23
BPAN4,2379968,2718,2015-01-02,2025-12-23
BHIA3,2357114,2500,2015-01-07,2025-12-23
VIVT3,2329390,2722,2015-01-02,2025-12-23
GGPS3,2320285,1166,2021-04-28,2025-12-23
LIGT3,2282670,2724,2015-01-02,2025-12-23
RECV3,2267086,1161,2021-05-05,2025-12-23
ALPA4,2226444,2724,2015-01-02,2025-12-23
FLRY3,2173527,2724,2015-01-02,2025-12-23
