rank,candidate_id,genome_hash,oos_sharpe_net,pbo,oos_cagr_net,max_drawdown_net,dsr,stress_passed,stress_total,gates_passed,turnover_annual,capacity_usd,created_at
1,cand_964671665c71,sha256:00629c3626228621,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:59Z
2,cand_134e8019c3fa,sha256:0079e99fef35825c,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:00Z
3,cand_000970e696cf,sha256:0085baeadc921b8a,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:12Z
4,cand_c8e105771e7a,sha256:00aa879ff4ddcbd6,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:47Z
5,cand_9a8ac3ad6377,sha256:00c8be6fa039338d,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:33Z
6,cand_c70e358ecd47,sha256:00e4265f5572bdac,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:53Z
7,cand_df8dc00b5c41,sha256:00f105aee6c75ce0,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:25Z
8,cand_f20dad37fa2e,sha256:00fcddc537664237,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:28Z
9,cand_290cd0665d8f,sha256:011aa9849ba4f30a,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:13Z
10,cand_50494885a8f4,sha256:019671a761e72109,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:40Z
11,cand_3483caa80a9c,sha256:01e668c8dac2274e,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:20Z
12,cand_a0b5d071ba38,sha256:0217bc4194c1c0d6,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:16Z
13,cand_b4fa534c188c,sha256:02332d930cb407cd,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:58Z
14,cand_690cb0134b33,sha256:0274b9d8eaa9886b,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:41Z
15,cand_67faf7227980,sha256:028a23d520779708,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:24Z
16,cand_8c7bc352428e,sha256:029eee3fc42d6974,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:49Z
17,cand_9ce8b3f92fc5,sha256:0331ad9656d1aa4f,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:05Z
18,cand_fe5e99a40cd5,sha256:039c8dd1f2bc88bb,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:48Z
19,cand_8cb48ab3ee01,sha256:03a10c877b1f7620,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:04Z
20,cand_a280b455e351,sha256:03c1f84472f3179d,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:10Z
21,cand_2422cd2e4e2d,sha256:04324c95742f62bd,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:53Z
22,cand_2c74952682f7,sha256:0444521cfaba4299,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:11Z
23,cand_76cac0751675,sha256:0459fb89f731c7bc,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:23Z
24,cand_b0bbe2831c36,sha256:0483809588c3b0eb,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:37Z
25,cand_e3f17a315476,sha256:04b1936b7ba53a4c,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:17Z
26,cand_f5bbdfd2d017,sha256:05b200a4d530b6f2,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:17Z
27,cand_148be359d3d4,sha256:0641c1ce8983fb81,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:31Z
28,cand_053668cd0393,sha256:067552102ecce691,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:35Z
29,cand_2edb05c13579,sha256:067b306ff8dcb366,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:37Z
30,cand_b170b0f94b3e,sha256:06cafa9b8abb55fe,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:53Z
31,cand_73219460cca3,sha256:06e3fc3a93ad8ddc,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:45Z
32,cand_180af70c8385,sha256:073ebea14fe0a84f,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:15Z
33,cand_d9ca5db362f1,sha256:074ce41136cec5af,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:07Z
34,cand_f6d55d47f4d1,sha256:08e1a57db2b55a8d,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:56Z
35,cand_3f77cc2dc82d,sha256:08f6b6dae59a0a88,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:46Z
36,cand_1f1be6a1a11e,sha256:090d640afc093342,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:21Z
37,cand_8df0ca3f09d6,sha256:0930c9334d0574ee,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:56Z
38,cand_83257f5978c7,sha256:09dc3a5da8569e22,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:02Z
39,cand_e8ad2d891b12,sha256:09dfe9114df6ec3a,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:33Z
40,cand_ef66a4d3969e,sha256:0a0b38108cea812b,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:54Z
41,cand_86200e9fe43a,sha256:0a28bc41c1c9dc17,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:39Z
42,cand_ebef0bd2cd8b,sha256:0a3a482c5efef124,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:56Z
43,cand_f3a1401638d7,sha256:0a6cceaf71c0d963,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:07Z
44,cand_86d5dfa17201,sha256:0add97414ad3eb58,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:33Z
45,cand_b5790ba86d07,sha256:0b19055684624c64,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:33Z
46,cand_00828009860c,sha256:0b44074452590ff1,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:18Z
47,cand_983feba3c0a7,sha256:0b63da94cd3dc105,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:11Z
48,cand_553adab660f8,sha256:0b6746411994339e,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:14Z
49,cand_094dfc3c73fe,sha256:0b748c1798e12bab,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:22Z
50,cand_2355c0927321,sha256:0bd83e75869a64b7,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:13Z
51,cand_99cd5f35505a,sha256:0c11e9d99ce3107a,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:49Z
52,cand_6beae7eee149,sha256:0c6552c9089a1375,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:27Z
53,cand_c13758af3121,sha256:0c94a7d5e679853f,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:53Z
54,cand_37091f1ad0d3,sha256:0c9c8fe31fade157,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:24Z
55,cand_1e89903563f5,sha256:0cceae0fe2db8185,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:00Z
56,cand_0401e175f228,sha256:0ce204899a4203af,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:24Z
57,cand_8eadfba96ea1,sha256:0d45db1fad6a0b55,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:45Z
58,cand_fe270946fff2,sha256:0d896a78fc83a20c,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:35Z
59,cand_54414be40a4b,sha256:0da043d36053a6f7,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:11Z
60,cand_6426a4057888,sha256:0dc657f204690ae4,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:24Z
61,cand_c3bb6df1cf7b,sha256:0dd3e09d6a6742bf,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:28Z
62,cand_bacec27d6069,sha256:0dfe24c9ef98f854,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:42Z
63,cand_a478b295f98a,sha256:0e062a799fb30001,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:57Z
64,cand_5060427ef9f1,sha256:0e09f934b007914c,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:42Z
65,cand_157b3849c228,sha256:0e17345e879ba151,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:59Z
66,cand_e768cc7d63c1,sha256:0ebb560e58dd71d2,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:07Z
67,cand_0dfa2b7ed8d3,sha256:0f2f493210474012,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:51Z
68,cand_16bd84a77fae,sha256:0fded521cff8fcc7,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:26Z
69,cand_0f1c4443e4a2,sha256:1026f32d9603ed38,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:21Z
70,cand_241c12214b48,sha256:1032ff4bc37a1e2f,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:11Z
71,cand_2b7bf433d5a1,sha256:10671101e919af51,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:11Z
72,cand_9e7bbd23bff2,sha256:107ce855b92887d6,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:51Z
73,cand_dc86a4620f12,sha256:108957c4e6376bd0,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:55Z
74,cand_25b82fac35b5,sha256:10b358b7e93774a2,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:02:29Z
75,cand_98c9a4a7c1ef,sha256:10e30a5320100925,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:00:57Z
76,cand_87a23680ed06,sha256:1148e4c495326069,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:57Z
77,cand_300820aa3401,sha256:11e59c34932f0e9b,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:30Z
78,cand_95aaea0276ee,sha256:12019b9aebbbd535,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:20Z
79,cand_207199591e4e,sha256:12098454dba3a45e,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:21Z
80,cand_b9500caf8150,sha256:12c5aa3ac39c3842,190.729965,1.000000,0.251000,0.000000,,,,,,,2025-12-28T23:01:11Z
