IBRA - Carteira do Dia 08/07/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;112.455.686;0,072;
ABCB4;ABC BRASIL;PN  EJ  N2;73.106.941;0,066;
AERI3;AERIS;ON      NM;35.461.088;0,006;
ALOS3;ALLOS;ON      NM;476.976.044;0,449;
ALPA4;ALPARGATAS;PN      N1;153.041.091;0,057;
ALUP11;ALUPAR;UNT     N2;157.537.587;0,204;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,481;
AMBP3;AMBIPAR;ON      NM;36.932.489;0,251;
ANIM3;ANIMA;ON      NM;256.712.285;0,047;
ARML3;ARMAC;ON      NM;171.598.756;0,028;
ASAI3;ASSAI;ON      NM;1.345.897.506;0,586;
AURE3;AUREN;ON      NM;323.738.747;0,131;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,232;
B3SA3;B3;ON      NM;5.200.055.464;3,210;
BPAN4;BANCO PAN;PN      N1;285.723.480;0,093;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,098;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;0,969;
BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,076;
BLAU3;BLAU;ON      NM;29.680.739;0,016;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,022;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,033;
BBDC3;BRADESCO;ON  EJ  N1;1.469.064.981;0,881;
BBDC4;BRADESCO;PN  EJ  N1;5.111.682.020;3,556;
BRAP4;BRADESPAR;PN      N1;250.982.988;0,173;
BBAS3;BRASIL;ON      NM;2.842.613.858;2,642;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,055;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,104;
BRAV3;BRAVA;ON      NM;451.311.960;0,337;
BRFS3;BRF SA;ON      NM;832.617.717;0,762;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,277;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,370;
CAML3;CAMIL;ON      NM;96.218.424;0,021;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,014;
CBAV3;CBA;ON      NM;204.441.277;0,042;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,086;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,868;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,226;
CSMG3;COPASA;ON      NM;188.462.398;0,226;
CPLE3;COPEL;ON      N2;1.293.575.090;0,623;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,863;
CSAN3;COSAN;ON      NM;1.160.227.510;0,337;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,321;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,357;
CURY3;CURY S/A;ON      NM;133.117.425;0,166;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,047;
CYRE3;CYRELA REALT;ON      NM;257.174.951;0,278;
DASA3;DASA;ON      NM;177.124.534;0,010;
DXCO3;DEXCO;ON      NM;301.760.723;0,072;
PNVL3;DIMED;ON  EJ  NM;71.516.013;0,029;
DIRR3;DIRECIONAL;ON  ED  NM;108.541.907;0,185;
ECOR3;ECORODOVIAS;ON      NM;329.302.615;0,100;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,340;
ELET6;ELETROBRAS;PNB     N1;268.875.696;0,502;
EMBR3;EMBRAER;ON      NM;734.631.701;2,530;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,654;
ENEV3;ENEVA;ON      NM;1.907.494.195;1,095;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,466;
EQTL3;EQUATORIAL;ON      NM;1.244.304.866;1,852;
EVEN3;EVEN;ON      NM;189.773.600;0,058;
EZTC3;EZTEC;ON      NM;95.300.871;0,055;
FESA4;FERBASA;PN      N1;160.583.300;0,046;
FLRY3;FLEURY;ON      NM;455.988.366;0,250;
FRAS3;FRAS-LE;ON  EJ  N1;90.273.163;0,103;
GFSA3;GAFISA;ON      NM;6.018.559;0,005;
GGBR4;GERDAU;PN      N1;1.308.152.318;0,928;
GOAU4;GERDAU MET;PN      N1;623.866.944;0,248;
GGPS3;GPS;ON      NM;392.414.992;0,271;
GRND3;GRENDENE;ON      NM;267.998.367;0,061;
GMAT3;GRUPO MATEUS;ON  EJ  NM;461.916.853;0,156;
SBFG3;GRUPO SBF;ON      NM;140.682.629;0,076;
GUAR3;GUARARAPES;ON      NM;81.942.860;0,029;
HAPV3;HAPVIDA;ON      NM;311.217.208;0,457;
HBSA3;HIDROVIAS;ON      NM;1.359.441.204;0,206;
HYPE3;HYPERA;ON  EJ  NM;360.057.207;0,422;
