rank,candidate_id,genome_hash,oos_sharpe_net,pbo,oos_cagr_net,max_drawdown_net,dsr,stress_passed,stress_total,gates_passed,turnover_annual,capacity_usd,created_at
1,cand_d4cffb1b8cfe,sha256:0d8c01934625e92a,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:38Z
2,cand_ba87603b992f,sha256:20ebd9b4510329fb,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:37Z
3,cand_38c7190ccf59,sha256:30f83bea284cfed0,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:42Z
4,cand_a68b028d8747,sha256:417fa0b2c874ba38,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:39Z
5,cand_13fbded336a0,sha256:43e4b97249995963,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:37Z
6,cand_d9d2533f439b,sha256:43e93e69dd1bed7f,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:35Z
7,cand_58bd6105614c,sha256:507e6852c87a0688,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:39Z
8,cand_691adb42edfe,sha256:5568db8100fdf6ba,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:38Z
9,cand_ea42f747aee7,sha256:6083513eaeb0e534,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:46Z
10,cand_914891f6f63a,sha256:63bba3d2c2df40fd,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:44Z
11,cand_9888cc59d52f,sha256:6e3bc587b7905c27,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:40Z
12,cand_11865870906b,sha256:8632ea541c1918dd,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:41Z
13,cand_da196b999f33,sha256:91751740e7c684db,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:45Z
14,cand_370ffd126e91,sha256:9b3e0fee3427800a,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:36Z
15,cand_befa239f0107,sha256:9c32a4e2130c84b6,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:45Z
16,cand_e0319a350b87,sha256:a4c70ad7ca6ccd85,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:42Z
17,cand_6bac92813072,sha256:aef49ae4b07b3863,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:40Z
18,cand_8a5b9de6a08c,sha256:b1f9acbf386d0944,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:43Z
19,cand_b39f97307799,sha256:b3e1ea4ff3fa9ed6,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:36Z
20,cand_78cb684c7c81,sha256:c7c63bcbb76efdaf,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:41Z
21,cand_69f45cb9dc94,sha256:cd00230149b3f9e5,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:43Z
22,cand_2558e0570d31,sha256:d6d236298c7bdcc7,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:45Z
23,cand_7001c8010578,sha256:df13397dbbc7354d,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:39Z
24,cand_79e2a3d5288a,sha256:e9c786c9fcf04cbe,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:46Z
25,cand_8a95b0765d73,sha256:ffc7bcd4c9fa5b1f,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:29:44Z
