timestamp,ticker,open,high,low,close,volume
2024-12-23,PETR4,37.00,37.05,36.72,32.89,43785600
2024-12-23,VALE3,54.67,55.23,54.40,48.46,18587900
2024-12-23,ITUB4,28.30,28.46,27.95,24.73,30510150
2024-12-26,PETR4,35.63,36.00,35.60,33.13,22920700
2024-12-26,VALE3,54.85,55.40,54.40,48.60,13155800
2024-12-26,ITUB4,28.05,28.39,27.99,24.89,22600270
2024-12-27,PETR4,36.00,36.00,35.61,33.03,24167200
2024-12-27,VALE3,54.73,55.08,54.46,48.37,16635300
2024-12-27,ITUB4,28.32,28.39,27.98,24.64,14969460
2024-12-30,PETR4,35.78,36.37,35.77,33.52,22355600
2024-12-30,VALE3,54.90,55.19,54.55,48.20,11250900
2024-12-30,ITUB4,28.06,28.25,27.94,24.60,31215030
2025-01-02,PETR4,36.42,37.09,36.19,34.06,30046800
2025-01-02,VALE3,54.71,55.10,54.23,47.93,17623900
2025-01-02,ITUB4,27.86,28.05,27.49,24.49,28207740
2025-01-03,PETR4,36.88,37.04,36.32,33.70,23314200
2025-01-03,VALE3,53.90,54.00,52.88,47.04,23608700
2025-01-03,ITUB4,27.81,27.84,27.11,23.89,38873010
2025-01-06,PETR4,36.60,36.69,36.06,33.54,23760200
2025-01-06,VALE3,53.48,53.79,52.48,46.44,21689500
2025-01-06,ITUB4,27.46,28.41,27.37,24.96,34081630
2025-01-07,PETR4,36.55,37.25,36.30,34.25,37753300
2025-01-07,VALE3,52.63,52.89,51.94,45.99,22070200
2025-01-07,ITUB4,28.47,28.96,28.40,25.24,27790620
2025-01-08,PETR4,36.99,37.12,36.43,33.98,24483500
2025-01-08,VALE3,52.03,52.29,51.43,45.55,24423800
2025-01-08,ITUB4,28.38,28.55,28.05,24.83,21148710
2025-01-09,PETR4,36.70,36.97,36.70,34.13,11526600
2025-01-09,VALE3,52.05,52.25,51.14,45.26,15865200
2025-01-09,ITUB4,28.19,28.34,28.11,24.89,11131780
2025-01-10,PETR4,37.25,37.52,36.90,34.22,40328800
2025-01-10,VALE3,51.54,52.31,51.23,45.52,25833900
2025-01-10,ITUB4,28.24,28.31,27.77,24.55,21217130
2025-01-13,PETR4,37.30,37.53,36.97,34.34,22897100
2025-01-13,VALE3,52.00,52.31,50.87,45.51,30845300
2025-01-13,ITUB4,27.85,28.30,27.85,24.72,17025030
2025-01-14,PETR4,37.11,37.13,36.58,34.11,29173100
2025-01-14,VALE3,51.95,52.43,51.63,45.81,21379000
2025-01-14,ITUB4,28.12,28.14,27.65,24.74,22260700
2025-01-15,PETR4,36.93,37.32,36.80,34.54,32512700
2025-01-15,VALE3,52.14,52.68,51.63,46.48,35137700
2025-01-15,ITUB4,28.34,29.35,28.25,25.81,39134260
2025-01-16,PETR4,37.21,37.24,36.77,34.32,26733200
2025-01-16,VALE3,52.29,53.27,52.00,46.54,220262800
2025-01-16,ITUB4,29.23,29.45,28.95,25.73,24043910
2025-01-17,PETR4,37.01,37.40,36.85,34.46,39941100
2025-01-17,VALE3,53.15,54.49,52.98,48.14,54658700
2025-01-17,ITUB4,29.34,29.61,29.17,25.92,22939620
2025-01-20,PETR4,37.22,37.43,37.11,34.54,13912800
2025-01-20,VALE3,54.22,54.49,53.76,47.97,12317600
2025-01-20,ITUB4,29.27,29.91,29.27,26.16,10157840
2025-01-21,PETR4,37.10,37.35,36.72,34.55,23612200
2025-01-21,VALE3,54.29,54.32,53.25,47.73,28798700
2025-01-21,ITUB4,29.69,29.91,29.57,26.22,15454780
2025-01-22,PETR4,37.36,37.63,37.03,34.36,21832200
2025-01-22,VALE3,54.28,54.29,52.42,46.53,34645400
2025-01-22,ITUB4,29.86,29.96,29.55,26.12,23141690
2025-01-23,PETR4,37.12,37.41,36.70,34.12,26725700
2025-01-23,VALE3,52.95,52.99,51.84,46.23,25097300
2025-01-23,ITUB4,29.74,29.88,29.39,26.07,22246400
2025-01-24,PETR4,36.88,36.90,36.40,33.94,16216500
2025-01-24,VALE3,52.60,53.19,52.60,46.85,20520600
2025-01-24,ITUB4,29.48,29.64,29.37,26.00,9620600
2025-01-27,PETR4,36.57,37.30,36.47,34.44,29809700
2025-01-27,VALE3,52.89,53.98,52.57,47.68,24531300
2025-01-27,ITUB4,29.51,30.28,29.37,26.63,22250470
2025-01-28,PETR4,37.40,37.49,36.88,34.39,27621700
2025-01-28,VALE3,53.59,53.78,52.54,46.52,22932900
2025-01-28,ITUB4,30.22,30.41,29.97,26.68,15771360
2025-01-29,PETR4,37.20,37.33,36.76,34.18,18204400
2025-01-29,VALE3,52.80,53.51,52.63,46.65,19220300
2025-01-29,ITUB4,30.40,30.50,30.18,26.61,13258190
2025-01-30,PETR4,37.04,37.51,36.80,34.63,30916000
2025-01-30,VALE3,53.30,55.60,53.28,48.62,40562400
2025-01-30,ITUB4,30.21,31.07,30.21,27.26,28844530
2025-01-31,PETR4,37.39,38.37,37.25,34.91,37044800
2025-01-31,VALE3,54.99,55.21,54.00,47.86,25477600
2025-01-31,ITUB4,31.05,31.11,30.74,27.09,19837840
2025-02-03,PETR4,37.76,37.81,37.38,34.74,24877600
2025-02-03,VALE3,53.73,54.28,53.33,47.90,27216400
2025-02-03,ITUB4,30.62,30.72,30.22,26.84,24929520
2025-02-04,PETR4,37.30,37.35,36.82,34.39,34290300
2025-02-04,VALE3,54.13,54.71,53.81,47.73,32648700
2025-02-04,ITUB4,30.36,30.81,30.20,26.93,22480260
2025-02-05,PETR4,37.05,37.07,36.75,34.14,20539800
2025-02-05,VALE3,53.91,54.46,53.86,47.99,21674800
2025-02-05,ITUB4,30.75,31.28,30.68,27.34,44027830
2025-02-06,PETR4,36.84,37.12,36.70,34.08,17512400
2025-02-06,VALE3,55.40,55.64,54.97,48.71,32789000
2025-02-06,ITUB4,30.27,31.26,29.95,27.39,42761730
2025-02-07,PETR4,36.86,37.03,36.37,33.88,21438700
2025-02-07,VALE3,55.30,55.78,54.56,48.45,24395500
2025-02-07,ITUB4,31.17,31.34,30.64,27.19,38916130
2025-02-10,PETR4,36.81,37.03,36.72,34.12,17483300
2025-02-10,VALE3,54.87,55.40,54.84,48.95,15566300
2025-02-10,ITUB4,30.96,31.40,30.92,27.49,41443710
2025-02-11,PETR4,37.01,37.09,36.68,34.12,16624300
2025-02-11,VALE3,54.91,55.19,54.39,48.74,18198300
2025-02-11,ITUB4,31.27,31.73,31.27,27.77,34478070
2025-02-12,PETR4,36.65,36.75,36.11,33.61,37364500
2025-02-12,VALE3,55.01,55.29,54.70,48.41,35432600
2025-02-12,ITUB4,31.27,31.46,30.48,27.00,33312180
2025-02-13,PETR4,36.20,36.33,36.02,33.64,15351300
2025-02-13,VALE3,54.85,55.00,54.13,48.47,21749900
2025-02-13,ITUB4,30.65,30.82,30.50,27.15,14727020
2025-02-14,PETR4,36.44,37.58,36.40,34.68,40322000
2025-02-14,VALE3,55.22,55.81,55.00,49.19,49803200
2025-02-14,ITUB4,31.00,31.73,30.95,27.87,32569020
2025-02-17,PETR4,37.64,37.92,37.47,34.89,22615200
2025-02-17,VALE3,55.64,55.92,55.28,48.92,12391400
2025-02-17,ITUB4,31.71,32.09,31.67,27.93,19642370
2025-02-18,PETR4,37.72,38.44,37.71,35.53,44062600
2025-02-18,VALE3,55.60,55.97,55.51,49.25,27608200
2025-02-18,ITUB4,30.28,30.32,29.87,27.88,33658570
2025-02-19,PETR4,38.11,38.66,37.87,35.61,32648200
2025-02-19,VALE3,55.30,55.73,54.72,49.21,26472500
2025-02-19,ITUB4,30.05,30.07,29.77,27.62,24754290
