Date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2025-06-23 00:00:00-03:00,137116.0,137130.0,135835.0,136551.0,7727800,0.0,0.0,IBOV
2025-06-24 00:00:00-03:00,136552.0,138156.0,136254.0,137165.0,8083700,0.0,0.0,IBOV
2025-06-25 00:00:00-03:00,137163.0,137163.0,135565.0,135767.0,7705700,0.0,0.0,IBOV
2025-06-26 00:00:00-03:00,135767.0,137353.0,135756.0,137114.0,8023300,0.0,0.0,IBOV
2025-06-27 00:00:00-03:00,137113.0,137209.0,136469.0,136866.0,6244500,0.0,0.0,IBOV
2025-06-30 00:00:00-03:00,136865.0,139103.0,136430.0,138855.0,7680300,0.0,0.0,IBOV
2025-07-01 00:00:00-03:00,138855.0,139695.0,138855.0,139549.0,6345700,0.0,0.0,IBOV
2025-07-02 00:00:00-03:00,139586.0,140049.0,138384.0,139051.0,8811900,0.0,0.0,IBOV
2025-07-03 00:00:00-03:00,139051.0,141304.0,139051.0,140928.0,6082200,0.0,0.0,IBOV
2025-07-04 00:00:00-03:00,140928.0,141537.0,140597.0,141478.0,2114300,0.0,0.0,IBOV
2025-07-07 00:00:00-03:00,141265.0,141342.0,139295.0,139490.0,6117300,0.0,0.0,IBOV
2025-07-08 00:00:00-03:00,139491.0,139591.0,138770.0,139303.0,6750100,0.0,0.0,IBOV
2025-07-09 00:00:00-03:00,139303.0,139331.0,137299.0,137481.0,7584500,0.0,0.0,IBOV
2025-07-10 00:00:00-03:00,137472.0,137472.0,136015.0,136743.0,9566200,0.0,0.0,IBOV
2025-07-11 00:00:00-03:00,136742.0,136742.0,135528.0,136187.0,7401900,0.0,0.0,IBOV
2025-07-14 00:00:00-03:00,136187.0,136187.0,134840.0,135299.0,7325600,0.0,0.0,IBOV
2025-07-15 00:00:00-03:00,135298.0,136022.0,134380.0,135250.0,6904200,0.0,0.0,IBOV
2025-07-16 00:00:00-03:00,135250.0,135641.0,134265.0,135511.0,7833200,0.0,0.0,IBOV
2025-07-17 00:00:00-03:00,135515.0,135793.0,135016.0,135565.0,6800000,0.0,0.0,IBOV
2025-07-18 00:00:00-03:00,135563.0,135563.0,133296.0,133382.0,10071800,0.0,0.0,IBOV
2025-07-21 00:00:00-03:00,133382.0,134865.0,133367.0,134167.0,6726700,0.0,0.0,IBOV
2025-07-22 00:00:00-03:00,134180.0,135300.0,133986.0,134036.0,7052100,0.0,0.0,IBOV
