rank,candidate_id,genome_hash,oos_sharpe_net,pbo,oos_cagr_net,max_drawdown_net,dsr,stress_passed,stress_total,gates_passed,turnover_annual,capacity_usd,created_at
1,cand_f42ca28574d0,sha256:0650ff87baa4835f,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
2,cand_e29c2b0a1517,sha256:399e16084831eba3,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
3,cand_88a83b115f6e,sha256:446fa7a04095ce0d,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:49Z
4,cand_84fe47380c83,sha256:8ae8876ad0a51960,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
5,cand_eac5823ed6d5,sha256:8b6eb6057bb9ab10,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
6,cand_c381617bc7a3,sha256:917350a1ccb05ab2,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:49Z
7,cand_a97ecb6017fa,sha256:98447b656ad9ac79,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
8,cand_baf3dfc77904,sha256:bdc1c14c40546a38,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
9,cand_f423a1b1fb5f,sha256:c715073edf2a591f,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:50Z
10,cand_a13d24b19cb5,sha256:d5cb18e92713b319,143.047470,0.120000,0.200800,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T22:44:49Z
