rank,candidate_id,genome_hash,oos_sharpe_net,pbo,oos_cagr_net,max_drawdown_net,dsr,stress_passed,stress_total,gates_passed,turnover_annual,capacity_usd,created_at
1,cand_49770f905764,sha256:0bf8f01ab43837cd,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:59Z
2,cand_242c293846b4,sha256:27c408d583685f8d,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:56Z
3,cand_4554f329064a,sha256:5ffe3d138b994a0f,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:57Z
4,cand_904bcdf8c4c7,sha256:65240d6915d7ed51,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:59Z
5,cand_c39ca14ac14f,sha256:d4dd15485de533ea,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:58Z
6,cand_fd69e6c1c76d,sha256:e3db0608f9b71c69,0.600000,0.120000,0.080000,0.000000,0.550000,7,7,true,0.000000,,2025-12-28T21:20:58Z
