,open,high,low,close,volume,ticker
2010-07-20 01:00:00,63289.83,64481.19,62901.91,64462.5,2429412,IBOV
2010-07-21 01:00:00,64468.1,65136.2,64209.24,64476.84,1821860,IBOV
2010-07-22 01:00:00,64503.73,66212.79,64503.73,65748.1,2320652,IBOV
2010-07-23 01:00:00,65748.1,66322.99,65427.34,66322.99,1539937,IBOV
2010-07-26 01:00:00,66321.87,66618.61,66150.64,66443.26,1234446,IBOV
2010-07-27 01:00:00,66449.41,67102.17,66293.03,66674.44,1601854,IBOV
2010-07-28 01:00:00,66669.63,67050.77,66427.17,66808.25,1939328,IBOV
2010-07-29 01:00:00,66795.63,67428.2,66596.03,66953.83,2160222,IBOV
2010-07-30 01:00:00,66950.94,67608.09,66217.88,67515.4,2088428,IBOV
2010-08-02 01:00:00,67523.94,68753.77,67523.94,68517.46,1766595,IBOV
2010-08-03 01:00:00,68516.8,68560.68,67942.44,67997.36,1900007,IBOV
2010-08-04 01:00:00,67995.9,68534.2,67577.4,68272.0,1875265,IBOV
2010-08-05 01:00:00,68271.44,68470.97,68002.47,68411.72,1611595,IBOV
2010-08-06 01:00:00,68416.11,68508.95,67685.68,68094.76,1513178,IBOV
2010-08-09 01:00:00,68096.39,68512.67,67749.39,67862.28,1254734,IBOV
2010-08-10 01:00:00,67836.11,67836.11,66946.43,67223.23,1625491,IBOV
2010-08-11 01:00:00,67216.74,67216.74,65690.39,65790.29,1732804,IBOV
2010-08-12 01:00:00,65787.87,66027.35,65257.27,65966.17,1546628,IBOV
2010-08-13 01:00:00,65963.88,66589.9,65921.43,66264.43,1841109,IBOV
2010-08-16 01:00:00,66260.42,66867.71,66186.95,66701.89,1394722,IBOV
2010-08-17 01:00:00,66701.89,67665.64,66701.89,67583.77,1746972,IBOV
2010-08-18 01:00:00,67583.61,67745.45,67005.75,67638.38,2366906,IBOV
2010-08-19 01:00:00,67640.83,67712.83,66823.59,66887.13,1919910,IBOV
2010-08-20 01:00:00,66891.65,66891.65,66336.57,66677.16,1414659,IBOV
2010-08-23 01:00:00,66677.71,67175.24,65981.86,65981.86,1379537,IBOV
2010-08-24 01:00:00,65946.32,65946.32,65012.56,65156.36,1604109,IBOV
2010-08-25 01:00:00,65156.2,65156.2,64163.55,64803.43,1753070,IBOV
2010-08-26 01:00:00,64801.59,65270.95,63803.94,63867.48,1773419,IBOV
2010-08-27 01:00:00,63875.28,65589.15,63847.56,65585.14,1763996,IBOV
2010-08-30 01:00:00,65585.14,65585.14,64254.51,64260.79,1286303,IBOV
2010-08-31 01:00:00,64261.77,65181.93,64201.99,65145.45,3284717,IBOV
2010-09-01 01:00:00,65154.26,67072.53,65154.26,67072.53,2508944,IBOV
2010-09-02 01:00:00,67072.53,67167.76,66404.82,66808.08,1601180,IBOV
2010-09-03 01:00:00,66811.92,67672.77,66541.1,66678.62,2019168,IBOV
2010-09-06 01:00:00,66678.62,66949.28,66379.67,66747.3,651477,IBOV
2010-09-08 01:00:00,66739.29,66739.29,66101.43,66407.28,1716026,IBOV
2010-09-09 01:00:00,66411.3,66806.5,66352.84,66624.1,1438814,IBOV
2010-09-10 01:00:00,66621.87,66919.8,66459.39,66806.79,1560919,IBOV
2010-09-13 01:00:00,66807.35,68141.51,66807.35,68030.58,2144479,IBOV
2010-09-14 01:00:00,68029.68,68092.84,67561.34,67691.85,2593904,IBOV
2010-09-15 01:00:00,67689.67,68107.21,67119.35,68106.85,2234285,IBOV
2010-09-16 01:00:00,68102.83,68102.83,67506.97,67662.99,1464316,IBOV
2010-09-17 01:00:00,67664.74,67773.03,66992.96,67089.12,1629319,IBOV
2010-09-20 01:00:00,67087.46,68241.11,67009.45,68190.46,1775119,IBOV
2010-09-21 01:00:00,68188.93,68255.32,67528.23,67719.13,1734033,IBOV
2010-09-22 01:00:00,67710.59,68549.08,67346.31,68325.18,2495279,IBOV
2010-09-23 01:00:00,68320.66,69600.85,67892.34,68794.32,3305114,IBOV
2010-09-24 01:00:00,68800.33,69571.16,68021.31,68196.48,3440901,IBOV
2010-09-27 01:00:00,68197.38,68926.35,68011.36,68815.97,2138688,IBOV
2010-09-28 01:00:00,68817.16,69431.02,68454.87,69227.63,1851862,IBOV
2010-09-29 01:00:00,69224.78,69419.89,68958.05,69228.24,3067165,IBOV
2010-09-30 01:00:00,69229.71,69736.76,68924.43,69429.78,2466216,IBOV
2010-10-01 01:00:00,69438.23,70242.59,69227.96,70229.35,2452533,IBOV
2010-10-04 01:00:00,70230.07,70551.26,70089.01,70384.92,1876733,IBOV
2010-10-05 01:00:00,70389.77,71285.03,70389.77,71283.11,2713072,IBOV
2010-10-06 01:00:00,71284.08,71290.43,70342.87,70541.37,2780680,IBOV
2010-10-07 01:00:00,70545.06,70738.87,69313.57,69918.4,2587232,IBOV
2010-10-08 01:00:00,69920.89,70827.75,69698.03,70808.8,2135986,IBOV
2010-10-11 01:00:00,70810.22,71110.51,70810.22,70946.49,1169065,IBOV
2010-10-13 01:00:00,70949.95,71994.8,70949.95,71674.9,2984950,IBOV
2010-10-14 01:00:00,71675.65,71961.27,71263.87,71692.29,2633091,IBOV
2010-10-15 01:00:00,71698.63,72139.59,71351.38,71830.18,2015231,IBOV
2010-10-18 02:00:00,71830.18,71884.32,71340.66,71735.53,2111651,IBOV
2010-10-19 02:00:00,71734.93,71734.93,69628.37,69863.58,2495212,IBOV
2010-10-20 02:00:00,69863.49,70720.32,69813.73,70404.68,2407218,IBOV
2010-10-21 02:00:00,70406.16,70958.17,68951.65,69652.1,2587885,IBOV
2010-10-22 02:00:00,69658.34,70311.61,68847.04,69529.73,2421553,IBOV
2010-10-25 02:00:00,69535.66,70230.79,69450.62,69580.28,3836064,IBOV
2010-10-26 02:00:00,69582.37,70833.85,69054.7,70740.39,2576738,IBOV
2010-10-27 02:00:00,70735.05,70844.41,70059.33,70568.94,2202523,IBOV
2010-10-28 02:00:00,70572.73,71262.91,70233.67,70320.13,2230107,IBOV
2010-10-29 02:00:00,70322.43,70775.7,70322.43,70673.3,2208789,IBOV
2010-11-01 02:00:00,70686.21,71751.32,70673.21,71560.93,1555039,IBOV
2010-11-03 02:00:00,71560.33,72109.97,71510.43,71904.77,2145867,IBOV
2010-11-04 02:00:00,71909.64,73103.28,71909.64,72995.69,2175808,IBOV
2010-11-05 02:00:00,72987.2,72987.2,72534.04,72606.58,1732044,IBOV
2010-11-08 03:00:00,72606.58,72875.38,72336.04,72657.37,1077555,IBOV
2010-11-09 03:00:00,72654.23,73044.68,71651.17,71679.47,1505086,IBOV
2010-11-10 03:00:00,71673.52,71854.38,70867.86,71638.38,1485238,IBOV
2010-11-11 03:00:00,71638.98,71638.98,70940.6,71195.16,1353239,IBOV
2010-11-12 03:00:00,71191.01,71191.01,70004.48,70367.15,1188518,IBOV
2010-11-16 03:00:00,70364.37,70364.37,68662.39,69192.41,2240756,IBOV
2010-11-17 03:00:00,69189.09,70079.75,69187.22,69708.63,1991540,IBOV
2010-11-18 03:00:00,69716.02,70904.26,69716.02,70781.4,1881660,IBOV
2010-11-19 03:00:00,70773.84,70897.9,70235.98,70897.9,1506445,IBOV
2010-11-22 03:00:00,70897.9,70897.9,69201.58,69632.5,1739160,IBOV
2010-11-23 03:00:00,69628.88,69628.88,67727.97,67952.55,2080630,IBOV
2010-11-24 03:00:00,67954.79,69745.71,67954.79,69629.36,1990594,IBOV
2010-11-25 03:00:00,69634.29,69780.23,69361.63,69361.63,981629,IBOV
2010-11-26 03:00:00,69349.48,69349.48,68219.09,68226.1,1564895,IBOV
2010-11-29 03:00:00,68218.18,68421.65,67102.94,67908.18,1777899,IBOV
2010-11-30 03:00:00,67900.95,68476.43,67270.61,67705.4,2159187,IBOV
2010-12-01 03:00:00,67731.17,69605.35,67731.17,69345.85,2090526,IBOV
2010-12-02 03:00:00,69341.09,69942.87,69218.65,69527.07,2111850,IBOV
2010-12-03 03:00:00,69529.04,69963.03,68943.28,69766.09,2828009,IBOV
2010-12-06 03:00:00,69759.37,69931.66,69377.85,69551.81,1888791,IBOV
2010-12-07 03:00:00,69563.37,70589.07,69337.64,69337.64,2592247,IBOV
2010-12-08 03:00:00,69338.22,69353.53,68046.17,68174.92,2671548,IBOV
2010-12-09 03:00:00,68173.28,68561.34,67563.46,67879.46,2447138,IBOV
2010-12-10 03:00:00,67889.34,68514.35,67866.49,68341.83,2807660,IBOV
2010-12-13 03:00:00,68341.83,69221.06,68341.83,69126.32,2462610,IBOV
2010-12-14 03:00:00,69126.84,69126.84,68531.27,68742.97,1875339,IBOV
2010-12-15 03:00:00,68740.65,68740.65,67711.25,67870.14,1348149,IBOV
2010-12-16 03:00:00,67874.9,68376.82,67137.97,67306.39,2401358,IBOV
2010-12-17 03:00:00,67304.16,67981.22,66947.65,67981.22,1983767,IBOV
2010-12-20 03:00:00,67979.21,68196.06,67263.6,67263.6,2352883,IBOV
2010-12-21 03:00:00,67261.39,68461.32,67261.39,68214.86,1897474,IBOV
2010-12-22 03:00:00,68218.33,68471.83,67727.33,68470.76,1656716,IBOV
2010-12-23 03:00:00,68470.3,68561.55,68249.62,68485.96,1229309,IBOV
2010-12-27 03:00:00,68476.32,68476.32,67803.16,67803.16,1035361,IBOV
2010-12-28 03:00:00,67810.36,68104.26,67810.36,68040.94,1401128,IBOV
2010-12-29 03:00:00,68043.0,69039.76,68043.0,68952.42,1307736,IBOV
2010-12-30 03:00:00,68953.18,69527.17,68940.08,69304.81,2102150,IBOV
2011-01-03 03:00:00,69309.98,70470.97,69304.67,69962.32,1862319,IBOV
2011-01-04 03:00:00,69962.1,70317.79,69559.92,70317.79,2427239,IBOV
2011-01-05 03:00:00,70311.43,71172.96,69801.71,71091.03,2309214,IBOV
2011-01-06 03:00:00,71092.5,71167.1,70469.17,70578.83,2546050,IBOV
2011-01-07 03:00:00,70579.9,70782.83,69718.11,70057.2,1761075,IBOV
2011-01-10 03:00:00,70056.05,70133.39,69666.37,70127.04,1610794,IBOV
2011-01-11 03:00:00,70145.55,70647.44,70145.28,70423.44,2138029,IBOV
2011-01-12 03:00:00,70429.44,71632.9,70429.44,71632.9,2516090,IBOV
2011-01-13 03:00:00,71631.13,71923.84,70719.1,70721.44,2237712,IBOV
2011-01-14 03:00:00,70722.96,71184.3,70396.86,70940.22,1806690,IBOV
2011-01-17 03:00:00,70939.58,70939.58,70544.1,70609.07,1538533,IBOV
2011-01-18 03:00:00,70612.23,71093.97,70612.23,70919.75,1877411,IBOV
2011-01-19 03:00:00,70921.27,71189.81,69966.21,70058.08,1884793,IBOV
2011-01-20 03:00:00,70056.42,70083.35,69176.61,69561.53,2169624,IBOV
2011-01-21 03:00:00,69559.87,70026.52,69095.15,69133.09,2071797,IBOV
2011-01-24 03:00:00,69134.47,69512.61,68786.28,69426.57,1474487,IBOV
2011-01-26 03:00:00,69426.64,69556.15,68514.92,68709.22,2542472,IBOV
2011-01-27 03:00:00,68716.83,69107.89,67774.57,68050.71,2304361,IBOV
2011-01-28 03:00:00,68050.71,68181.74,65897.65,66697.57,2544030,IBOV
2011-01-31 03:00:00,66697.12,67165.91,66270.66,66574.88,2253833,IBOV
2011-02-01 03:00:00,66574.88,67921.76,66574.88,67847.34,2114052,IBOV
2011-02-02 03:00:00,67844.37,68011.96,66643.0,66688.48,2551420,IBOV
2011-02-03 03:00:00,66688.32,66848.61,66090.82,66764.84,2380785,IBOV
2011-02-04 03:00:00,66752.08,66946.48,65159.73,65269.15,2676732,IBOV
2011-02-07 03:00:00,65272.38,65892.76,64915.83,65362.04,1980431,IBOV
2011-02-08 03:00:00,65359.4,66237.76,65110.46,65771.33,2763937,IBOV
2011-02-09 03:00:00,65767.21,65767.21,64016.36,64217.52,2811346,IBOV
2011-02-10 03:00:00,64217.36,65106.23,64184.89,64577.83,2356354,IBOV
2011-02-11 03:00:00,64581.6,65890.07,64562.16,65755.66,2396458,IBOV
2011-02-14 03:00:00,65751.32,66743.42,65461.57,66557.55,1945022,IBOV
2011-02-15 03:00:00,66557.75,66860.77,66117.13,66341.39,2355469,IBOV
2011-02-16 03:00:00,66341.97,67793.44,66341.97,67576.0,2672366,IBOV
2011-02-17 03:00:00,67579.55,67875.96,67106.62,67684.99,2147866,IBOV
2011-02-18 03:00:00,67684.99,68225.66,67385.93,68066.82,1944043,IBOV
2011-02-21 02:00:00,68066.82,68066.82,67084.92,67258.66,1452915,IBOV
2011-02-22 02:00:00,67254.54,67569.79,66342.18,66439.83,3045347,IBOV
2011-02-23 02:00:00,66439.95,67265.75,66049.36,66910.48,3334934,IBOV
2011-02-24 02:00:00,66909.27,67343.6,66692.81,66948.99,2699114,IBOV
2011-02-25 02:00:00,66951.7,67632.46,66331.07,66902.53,2394642,IBOV
2011-02-28 02:00:00,66909.3,67458.28,66686.78,67383.22,2640306,IBOV
2011-03-01 02:00:00,67380.7,67708.4,66242.63,66242.63,2166393,IBOV
2011-03-02 02:00:00,66241.5,67281.51,66101.24,67281.51,2518555,IBOV
2011-03-03 02:00:00,67283.78,68188.22,67283.78,68145.53,2254558,IBOV
2011-03-04 02:00:00,68137.8,68219.94,67513.6,68012.1,1839999,IBOV
2011-03-09 02:00:00,68010.36,68056.82,67108.77,67263.75,1407598,IBOV
2011-03-10 02:00:00,67255.94,67255.94,65853.94,66040.66,2375086,IBOV
2011-03-11 02:00:00,66041.33,67014.07,65558.87,66684.6,2491096,IBOV
2011-03-14 01:00:00,66684.44,67333.15,66087.73,67169.25,1874220,IBOV
2011-03-15 01:00:00,67167.57,67167.57,65463.02,67005.22,2852274,IBOV
2011-03-16 01:00:00,67010.83,67502.05,65662.68,66002.57,3056842,IBOV
